------------------------------------------------------------
Client connecting to 10.4.2.2, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[139] local 10.5.4.2 port 43714 connected with 10.4.2.2 port 5001
[ ID] Interval       Transfer     Bandwidth
[139]  0.0- 1.0 sec   128 KBytes  1.05 Mbits/sec
[139]  1.0- 2.0 sec  0.00 Bytes  0.00 bits/sec
[139]  2.0- 3.0 sec  0.00 Bytes  0.00 bits/sec
[139]  3.0- 4.0 sec  0.00 Bytes  0.00 bits/sec
[139]  4.0- 5.0 sec  0.00 Bytes  0.00 bits/sec
[139]  5.0- 6.0 sec  0.00 Bytes  0.00 bits/sec
[139]  6.0- 7.0 sec  0.00 Bytes  0.00 bits/sec
[139]  7.0- 8.0 sec  0.00 Bytes  0.00 bits/sec
[139]  8.0- 9.0 sec   128 KBytes  1.05 Mbits/sec
[139]  9.0-10.0 sec  0.00 Bytes  0.00 bits/sec
[139] 10.0-11.0 sec  0.00 Bytes  0.00 bits/sec
[139] 11.0-12.0 sec  0.00 Bytes  0.00 bits/sec
[139] 12.0-13.0 sec  0.00 Bytes  0.00 bits/sec
[139] 13.0-14.0 sec   128 KBytes  1.05 Mbits/sec
[139] 14.0-15.0 sec  0.00 Bytes  0.00 bits/sec
[139] 15.0-16.0 sec  0.00 Bytes  0.00 bits/sec
[139] 16.0-17.0 sec  0.00 Bytes  0.00 bits/sec
[139] 17.0-18.0 sec  0.00 Bytes  0.00 bits/sec
[139] 18.0-19.0 sec   128 KBytes  1.05 Mbits/sec
[139] 19.0-20.0 sec  0.00 Bytes  0.00 bits/sec
[139] 20.0-21.0 sec   128 KBytes  1.05 Mbits/sec
[139] 21.0-22.0 sec  0.00 Bytes  0.00 bits/sec
[139] 22.0-23.0 sec  0.00 Bytes  0.00 bits/sec
[139] 23.0-24.0 sec  0.00 Bytes  0.00 bits/sec
[139] 24.0-25.0 sec  0.00 Bytes  0.00 bits/sec
[139] 25.0-26.0 sec   128 KBytes  1.05 Mbits/sec
[139] 26.0-27.0 sec  0.00 Bytes  0.00 bits/sec
[139] 27.0-28.0 sec  0.00 Bytes  0.00 bits/sec
[139] 28.0-29.0 sec  0.00 Bytes  0.00 bits/sec
[139] 29.0-30.0 sec  0.00 Bytes  0.00 bits/sec
[139] 30.0-31.0 sec  0.00 Bytes  0.00 bits/sec
[139] 31.0-32.0 sec   128 KBytes  1.05 Mbits/sec
[139] 32.0-33.0 sec  0.00 Bytes  0.00 bits/sec
[139] 33.0-34.0 sec   128 KBytes  1.05 Mbits/sec
[139] 34.0-35.0 sec  0.00 Bytes  0.00 bits/sec
[139] 35.0-36.0 sec  0.00 Bytes  0.00 bits/sec
[139] 36.0-37.0 sec   128 KBytes  1.05 Mbits/sec
[139] 37.0-38.0 sec  0.00 Bytes  0.00 bits/sec
[139] 38.0-39.0 sec  0.00 Bytes  0.00 bits/sec
[139] 39.0-40.0 sec  0.00 Bytes  0.00 bits/sec
[139] 40.0-41.0 sec  0.00 Bytes  0.00 bits/sec
[139] 41.0-42.0 sec   128 KBytes  1.05 Mbits/sec
[139] 42.0-43.0 sec  0.00 Bytes  0.00 bits/sec
[139] 43.0-44.0 sec  0.00 Bytes  0.00 bits/sec
[139] 44.0-45.0 sec  0.00 Bytes  0.00 bits/sec
[139] 45.0-46.0 sec  0.00 Bytes  0.00 bits/sec
[139] 46.0-47.0 sec  0.00 Bytes  0.00 bits/sec
[139] 47.0-48.0 sec  0.00 Bytes  0.00 bits/sec
[139] 48.0-49.0 sec   128 KBytes  1.05 Mbits/sec
[139] 49.0-50.0 sec  0.00 Bytes  0.00 bits/sec
[139] 50.0-51.0 sec  0.00 Bytes  0.00 bits/sec
[139] 51.0-52.0 sec   128 KBytes  1.05 Mbits/sec
[139] 52.0-53.0 sec  0.00 Bytes  0.00 bits/sec
[139] 53.0-54.0 sec  0.00 Bytes  0.00 bits/sec
[139] 54.0-55.0 sec   128 KBytes  1.05 Mbits/sec
[139] 55.0-56.0 sec  0.00 Bytes  0.00 bits/sec
[139] 56.0-57.0 sec  0.00 Bytes  0.00 bits/sec
[139] 57.0-58.0 sec  0.00 Bytes  0.00 bits/sec
[139] 58.0-59.0 sec   128 KBytes  1.05 Mbits/sec
[139] 59.0-60.0 sec  0.00 Bytes  0.00 bits/sec
[139] 60.0-61.0 sec   128 KBytes  1.05 Mbits/sec
[139] 61.0-62.0 sec  0.00 Bytes  0.00 bits/sec
[139] 62.0-63.0 sec  0.00 Bytes  0.00 bits/sec
[139] 63.0-64.0 sec  0.00 Bytes  0.00 bits/sec
[139] 64.0-65.0 sec  0.00 Bytes  0.00 bits/sec
[139] 65.0-66.0 sec   128 KBytes  1.05 Mbits/sec
[139] 66.0-67.0 sec  0.00 Bytes  0.00 bits/sec
[139] 67.0-68.0 sec  0.00 Bytes  0.00 bits/sec
[139] 68.0-69.0 sec  0.00 Bytes  0.00 bits/sec
[139] 69.0-70.0 sec  0.00 Bytes  0.00 bits/sec
[139] 70.0-71.0 sec  0.00 Bytes  0.00 bits/sec
[139] 71.0-72.0 sec  0.00 Bytes  0.00 bits/sec
[139] 72.0-73.0 sec   128 KBytes  1.05 Mbits/sec
[139] 73.0-74.0 sec  0.00 Bytes  0.00 bits/sec
[139] 74.0-75.0 sec  0.00 Bytes  0.00 bits/sec
[139] 75.0-76.0 sec   128 KBytes  1.05 Mbits/sec
[139] 76.0-77.0 sec  0.00 Bytes  0.00 bits/sec
[139] 77.0-78.0 sec  0.00 Bytes  0.00 bits/sec
[139] 78.0-79.0 sec  0.00 Bytes  0.00 bits/sec
[139] 79.0-80.0 sec  0.00 Bytes  0.00 bits/sec
[139] 80.0-81.0 sec   128 KBytes  1.05 Mbits/sec
[139] 81.0-82.0 sec  0.00 Bytes  0.00 bits/sec
[139] 82.0-83.0 sec  0.00 Bytes  0.00 bits/sec
[139] 83.0-84.0 sec  0.00 Bytes  0.00 bits/sec
[139] 84.0-85.0 sec   128 KBytes  1.05 Mbits/sec
[139] 85.0-86.0 sec  0.00 Bytes  0.00 bits/sec
[139] 86.0-87.0 sec  0.00 Bytes  0.00 bits/sec
[139] 87.0-88.0 sec  0.00 Bytes  0.00 bits/sec
[139] 88.0-89.0 sec   128 KBytes  1.05 Mbits/sec
[139] 89.0-90.0 sec  0.00 Bytes  0.00 bits/sec
[139] 90.0-91.0 sec   128 KBytes  1.05 Mbits/sec
[139] 91.0-92.0 sec  0.00 Bytes  0.00 bits/sec
[139] 92.0-93.0 sec  0.00 Bytes  0.00 bits/sec
[139] 93.0-94.0 sec  0.00 Bytes  0.00 bits/sec
[139] 94.0-95.0 sec  0.00 Bytes  0.00 bits/sec
[139] 95.0-96.0 sec   128 KBytes  1.05 Mbits/sec
[139] 96.0-97.0 sec  0.00 Bytes  0.00 bits/sec
[139] 97.0-98.0 sec  0.00 Bytes  0.00 bits/sec
[139] 98.0-99.0 sec  0.00 Bytes  0.00 bits/sec
[139] 99.0-100.0 sec   128 KBytes  1.05 Mbits/sec
[139] 100.0-101.0 sec  0.00 Bytes  0.00 bits/sec
[139] 101.0-102.0 sec   128 KBytes  1.05 Mbits/sec
[139] 102.0-103.0 sec  0.00 Bytes  0.00 bits/sec
[139] 103.0-104.0 sec  0.00 Bytes  0.00 bits/sec
[139] 104.0-105.0 sec  0.00 Bytes  0.00 bits/sec
[139] 105.0-106.0 sec   128 KBytes  1.05 Mbits/sec
[139] 106.0-107.0 sec  0.00 Bytes  0.00 bits/sec
[139] 107.0-108.0 sec  0.00 Bytes  0.00 bits/sec
[139] 108.0-109.0 sec  0.00 Bytes  0.00 bits/sec
[139] 109.0-110.0 sec  0.00 Bytes  0.00 bits/sec
[139] 110.0-111.0 sec  0.00 Bytes  0.00 bits/sec
[139] 111.0-112.0 sec   128 KBytes  1.05 Mbits/sec
[139] 112.0-113.0 sec  0.00 Bytes  0.00 bits/sec
[139] 113.0-114.0 sec  0.00 Bytes  0.00 bits/sec
[139] 114.0-115.0 sec  0.00 Bytes  0.00 bits/sec
[139] 115.0-116.0 sec  0.00 Bytes  0.00 bits/sec
[139] 116.0-117.0 sec  0.00 Bytes  0.00 bits/sec
[139] 117.0-118.0 sec   128 KBytes  1.05 Mbits/sec
[139] 118.0-119.0 sec  0.00 Bytes  0.00 bits/sec
[139] 119.0-120.0 sec   128 KBytes  1.05 Mbits/sec
[139] 120.0-121.0 sec  0.00 Bytes  0.00 bits/sec
[139] 121.0-122.0 sec  0.00 Bytes  0.00 bits/sec
[139] 122.0-123.0 sec  0.00 Bytes  0.00 bits/sec
[139] 123.0-124.0 sec   128 KBytes  1.05 Mbits/sec
[139] 124.0-125.0 sec  0.00 Bytes  0.00 bits/sec
[139] 125.0-126.0 sec  0.00 Bytes  0.00 bits/sec
[139] 126.0-127.0 sec  0.00 Bytes  0.00 bits/sec
[139] 127.0-128.0 sec  0.00 Bytes  0.00 bits/sec
[139] 128.0-129.0 sec   128 KBytes  1.05 Mbits/sec
[139] 129.0-130.0 sec  0.00 Bytes  0.00 bits/sec
